County,Population,Services,Total
Alamance,"153,595","7,361",0.048
Alexander,"37,436",233,0.006
Alleghany,"11,052","1,208",0.109
Anson,"26,318",22,0.001
Ashe,"27,434",553,0.02
Avery,"17,872",21,0.001
Beaufort,"47,777",171,0.004
Bertie,"20,595",164,0.008
Bladen,"35,209",856,0.024
Brunswick,"115,716","1,734",0.015
Buncombe,"248,872",600,0.002
Burke,"89,519",536,0.006
Cabarrus,"186,457","4,342",0.023
Caldwell,"82,504",313,0.004
Camden,"10,174",271,0.027
Carteret,"69,239",964,0.014
Caswell,"23,844",298,0.012
Catawba,"155,411","1,534",0.01
Chatham,"67,620","1,422",0.021
Cherokee,"27,471","1,094",0.04
Chowan,"14,815",377,0.025
Clay,"10,794",849,0.079
Cleveland,"97,429","3,102",0.032
Columbus,"57,739",497,0.009
Craven,"104,421",964,0.009
Cumberland,"332,553","1,097",0.003
Currituck,"24,506","1,002",0.041
Dare,"35,273",132,0.004
Davidson,"163,770",419,0.003
Davie,"41,507",46,0.001
Duplin,"60,104",930,0.015
Durham,"286,053",390,0.001
Edgecombe,"55,704",209,0.004
Forsyth,"360,471",874,0.002
Franklin,"62,697",216,0.003
Gaston,"209,571","1,627",0.008
Gates,"11,880",56,0.005
Graham,"8,854","1,229",0.139
Granville,"57,910",194,0.003
Greene,"21,073",50,0.002
Guilford,"507,419","1,595",0.003
Halifax,"53,705",244,0.005
Harnett,"123,316",439,0.004
Haywood,"59,674",773,0.013
Henderson,"109,287","2,876",0.026
Hertford,"24,621",332,0.013
Hoke,"50,672",183,0.004
Hyde,"5,806","1,006",0.173
Iredell,"164,974",934,0.006
Jackson,"40,810",144,0.004
Johnston,"177,308",162,0.001
Lee,"59,344",117,0.002
Lenior,"59,046",115,0.002
Lincoln,"79,745","1,206",0.015
Macon,"34,151",212,0.006
Madison,"21,372",790,0.037
Martin,"23,750",100,0.004
McDowell,"45,231",495,0.011
Mecklenburg,"991,867","4,034",0.004
Mitchell,"15,407","2,242",0.146
Moore,"91,937",475,0.005
Nash,"94,744",665,0.007
New Hanover,"213,809","2,907",0.014
Northampton,"21,244",321,0.015
Onslow,"193,925",37,0
Orange,"139,694","6,214",0.044
Pamlico,"13,071",144,0.011
Pasquotank,"39,458","1,724",0.044
Pender,"5,558",170,0.031
Perquimans,"13,771",231,0.017
Pitt,"173,879","1,876",0.011
Polk,"20,603",92,0.004
Randolph,"142,561",1114,0.008
Richmond,"46,041",268,0.006
Robeson,"134,010",507,0.004
Rockingham,"92,254","3,925",0.043
Rowan,"138,666",876,0.006
Rutherford,"67,807",369,0.005
Sampson,"64,313","1,054",0.016
Scotland,"36,223","1,564",0.043
Stanly,"60,612",85,0.001
Stokes,"46,731",143,0.003
Surry,"73,344",167,0.002
Swain,"14,590",788,0.054
Transylvania,"33,220",534,0.016
Tyrrell,"4,143","15,844",3.824
Union,"211,539","7,524",0.036
Wake,"964,616","1,265",0.001
Warren,"20,453",0,0
Washington,"12,826",32,0.002
Watauga,"52,682",139,0.003
Wayne,"125,101",331,0.003
Wilkes,"69,754",441,0.006
Wilson,"81,397",684,0.008
Yadkin,"38,131",77,0.002
Yancey,"17,921",770,0.043
