County,Population,Services,Total,Information,Advocacy,Referral,Transportation,Counseling,Hospital,Court,Other
Alamance,"153,033","5,344",0.035,"1,548",446,898,109,753,1,396,"1,193"
Alexander,"37,361","1,330",0.036,332,282,118,29,297,0,272,0
Alleghany,"11,028","5,293",0.48,"1,316","1,054","1,443",186,593,6,305,390
Anson,"26,656","1,263",0.047,246,246,37,64,2,33,541,94
Ashe,"29,326","2,327",0.079,381,681,381,396,23,11,22,432
Avery,"17,795",205,0.012,44,53,43,0,23,1,24,17
Beaufort,"48,008","2,048",0.043,608,409,147,18,378,1,212,275
Bertie,"20,767","2,721",0.131,404,785,115,56,5,10,"1,346",0
Bladen,"35,146",997,0.028,220,226,258,9,92,7,185,0
Brunswick,"112,701","7,796",0.069,"1,260","2,392","1,391",537,0,10,620,"1,586"
Buncombe,"245,228","22,640",0.092,"13,607","1,482","2,529",313,859,0,"2,711","1,139"
Burke,"90,051","4,576",0.051,"1,217",996,438,23,572,0,804,526
Cabarrus,"183,806","5,257",0.029,856,"1,658","1,213",560,0,0,144,826
Caldwell,"82,590","7,206",0.087,"1,207","2,040",698,"2,035",562,29,635,0
Camden,"10,076","1,312",0.13,346,348,239,10,252,0,117,0
Carteret,"68,151","2,777",0.041,357,"1,028",348,243,346,16,89,350
Caswell,"23,557","3,117",0.132,902,542,256,346,0,4,22,"1,045"
Catawba,"155,353","3,260",0.021,"1,060",393,507,69,329,1,901,0
Chatham,"66,618","2,839",0.043,137,630,82,144,942,4,863,37
Cherokee,"27,512","1,512",0.055,263,243,255,250,210,130,161,0
Chowan,"14,836","1,709",0.115,257,654,188,45,424,0,141,0
Clay,"10,729","2,250",0.21,879,403,299,199,351,8,60,51
Cleveland,"97,800","6,346",0.065,"1,354",562,"2,694",317,374,6,522,517
Columbus,"58,107","4,478",0.077,"1,174","1,759",953,77,282,36,197,0
Craven,"105,080","6,652",0.063,449,223,468,"1,665",291,22,51,"3,483"
Cumberland,"331,279","3,815",0.012,832,399,517,944,840,7,271,5
Currituck,"24,165","4,083",0.169,734,"1,733",492,82,823,0,219,0
Dare,"34,816","2,280",0.065,604,507,604,86,137,4,338,0
Davidson,"163,683","2,933",0.018,102,"1,590",20,21,529,0,131,540
Davie,"41,497","2,191",0.053,826,397,343,5,357,0,209,54
Duplin,"60,100","1,049",0.017,290,151,132,312,88,13,30,33
Durham,"280,921","3,587",0.013,832,755,739,6,256,43,722,234
Edgecombe,"56,039","1,529",0.027,459,222,287,57,0,1,54,449
Forsyth,"357,483","11,437",0.032,"2,921","3,118","2,117",465,505,15,"2,277",19
Franklin,"61,633","4,012",0.065,"1,130",906,526,122,935,0,378,15
Gaston,"208,704","1,722",0.008,756,147,363,312,50,0,52,42
Gates,"11,957",570,0.048,192,93,81,3,95,0,106,0
Graham,"8,798","6,970",0.792,"1,542","2,222",138,134,"2,595",7,332,0
Granville,"58,036","1,590",0.027,227,705,55,16,494,1,80,12
Greene,"21,435",290,0.014,112,86,10,4,6,1,71,0
Guilford,"501,058","3,474",0.007,638,948,10,0,813,0,217,848
Halifax,"54,308","1,020",0.019,540,42,280,64,16,46,32,0
Harnett,"120,900","1,102",0.009,335,104,180,26,131,2,118,206
Haywood,"59,276","3,065",0.052,798,944,660,60,88,2,496,17
Henderson,"108,340","2,667",0.025,505,378,0,0,933,0,176,675
